學員ID,推薦課程ID,預測報名機率,推薦原因
79117,2,0.62093896,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79117,7,0.0019340817,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79117,8,0.0019336712,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79131,2,0.9392337,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79131,7,0.0023604836,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79131,8,0.0023599828,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88177,1,0.69150436,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88177,7,0.0018649874,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88177,8,0.0018645915,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88256,1,0.26102734,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
88256,7,0.0012724295,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
88256,8,0.0012721592,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
88387,1,0.577231,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88387,7,0.0012445564,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88387,8,0.0012442921,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88667,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88667,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88667,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88679,1,0.724315,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88679,7,0.0022131822,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88679,8,0.0022127125,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88738,1,0.61272496,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88738,7,0.0020892853,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88738,8,0.0020888417,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88741,1,0.07282112,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88741,3,0.0011416537,4000-5000特徵符合高報名樣態；線上特徵符合高報名樣態
88741,6,0.0011416537,4000-5000特徵符合高報名樣態；線上特徵符合高報名樣態
